id,kickoff_time,home_team,away_team,home_team_score,away_team_score,finished
182,2023-12-26T15:00:00Z,3,10,,,False
183,2023-12-26T15:00:00Z,17,12,,,False
184,2023-12-26T17:30:00Z,6,11,,,False
185,2023-12-26T20:00:00Z,14,2,,,False
186,2023-12-27T19:30:00Z,4,20,,,False
187,2023-12-27T19:30:00Z,7,8,,,False
188,2023-12-27T20:15:00Z,9,13,,,False
189,2023-12-28T19:30:00Z,5,18,,,False
190,2023-12-28T20:15:00Z,1,19,,,False
191,2023-12-30T12:30:00Z,12,7,,,False
192,2023-12-30T15:00:00Z,2,6,,,False
193,2023-12-30T15:00:00Z,8,4,,,False
194,2023-12-30T15:00:00Z,13,17,,,False
195,2023-12-30T15:00:00Z,20,9,,,False
196,2023-12-30T17:30:00Z,16,14,,,False
197,2023-12-31T14:00:00Z,10,1,,,False
198,2023-12-31T14:00:00Z,18,3,,,False
199,2024-01-01T20:00:00Z,11,15,,,False
200,2024-01-02T19:30:00Z,19,5,,,False
201,2024-01-13T12:30:00Z,7,10,,,False
202,2024-01-13T17:30:00Z,15,13,,,False
203,2024-01-14T14:00:00Z,9,2,,,False
204,2024-01-14T16:30:00Z,14,18,,,False
205,2024-01-15T19:45:00Z,6,12,,,False
206,2024-01-20T12:30:00Z,1,8,,,False
207,2024-01-20T17:30:00Z,4,16,,,False
208,2024-01-21T14:00:00Z,17,19,,,False
209,2024-01-21T16:30:00Z,3,11,,,False
210,2024-01-22T19:45:00Z,5,20,,,False
211,2024-01-30T19:45:00Z,2,15,,,False
212,2024-01-30T19:45:00Z,10,9,,,False
213,2024-01-30T19:45:00Z,12,5,,,False
214,2024-01-30T19:45:00Z,16,1,,,False
215,2024-01-30T19:45:00Z,18,4,,,False
216,2024-01-30T19:45:00Z,19,3,,,False
217,2024-01-30T19:45:00Z,20,14,,,False
218,2024-01-30T20:00:00Z,8,17,,,False
219,2024-01-31T20:00:00Z,11,7,,,False
220,2024-01-31T20:00:00Z,13,6,,,False
221,2024-02-03T15:00:00Z,1,11,,,False
222,2024-02-03T15:00:00Z,3,16,,,False
223,2024-02-03T15:00:00Z,4,13,,,False
224,2024-02-03T15:00:00Z,5,8,,,False
225,2024-02-03T15:00:00Z,6,10,,,False
226,2024-02-03T15:00:00Z,7,20,,,False
227,2024-02-03T15:00:00Z,9,18,,,False
228,2024-02-03T15:00:00Z,14,19,,,False
229,2024-02-03T15:00:00Z,15,12,,,False
230,2024-02-03T15:00:00Z,17,2,,,False
231,2024-02-10T15:00:00Z,2,14,,,False
232,2024-02-10T15:00:00Z,8,7,,,False
233,2024-02-10T15:00:00Z,10,3,,,False
234,2024-02-10T15:00:00Z,11,6,,,False
235,2024-02-10T15:00:00Z,12,17,,,False
236,2024-02-10T15:00:00Z,13,9,,,False
237,2024-02-10T15:00:00Z,16,15,,,False
238,2024-02-10T15:00:00Z,18,5,,,False
239,2024-02-10T15:00:00Z,19,1,,,False
240,2024-02-10T15:00:00Z,20,4,,,False
241,2024-02-17T15:00:00Z,4,11,,,False
242,2024-02-17T15:00:00Z,6,1,,,False
243,2024-02-17T15:00:00Z,9,8,,,False
244,2024-02-17T15:00:00Z,10,2,,,False
245,2024-02-17T15:00:00Z,12,14,,,False
246,2024-02-17T15:00:00Z,13,7,,,False
247,2024-02-17T15:00:00Z,15,3,,,False
248,2024-02-17T15:00:00Z,16,19,,,False
249,2024-02-17T15:00:00Z,17,5,,,False
250,2024-02-17T15:00:00Z,18,20,,,False
251,2024-02-24T15:00:00Z,1,15,,,False
252,2024-02-24T15:00:00Z,2,16,,,False
253,2024-02-24T15:00:00Z,3,13,,,False
254,2024-02-24T15:00:00Z,5,9,,,False
255,2024-02-24T15:00:00Z,7,18,,,False
256,2024-02-24T15:00:00Z,8,6,,,False
257,2024-02-24T15:00:00Z,11,12,,,False
258,2024-02-24T15:00:00Z,14,10,,,False
259,2024-02-24T15:00:00Z,19,4,,,False
260,2024-02-24T15:00:00Z,20,17,,,False
261,2024-03-02T15:00:00Z,4,7,,,False
262,2024-03-02T15:00:00Z,6,3,,,False
263,2024-03-02T15:00:00Z,9,19,,,False
264,2024-03-02T15:00:00Z,10,5,,,False
265,2024-03-02T15:00:00Z,12,2,,,False
266,2024-03-02T15:00:00Z,13,14,,,False
267,2024-03-02T15:00:00Z,15,20,,,False
268,2024-03-02T15:00:00Z,16,11,,,False
269,2024-03-02T15:00:00Z,17,1,,,False
270,2024-03-02T15:00:00Z,18,8,,,False
271,2024-03-09T15:00:00Z,1,4,,,False
272,2024-03-09T15:00:00Z,2,18,,,False
